id,name,year,site
0,St Petersburg-ch,1997,St Petersburg
1,FRA-chT9697 final,1997,Clichy
2,Linz,1997,Linz
3,Shavuot Masters,1997,Tel Aviv
4,Oberwart op,1997,Oberwart
5,Politiken Cup,1997,Copenhagen
6,Komercni Banka op,1997,Pardubice
7,MK Cafe op-A,1997,Koszalin
8,Budapest FS09 IM,1997,Budapest
9,AUT-chT2S 9798,1997,Austria
10,COOP XXIII,1997,Buenos Aires
11,Hellir op,1997,Reykjavik
12,Budapest FS11 IM-A,1997,Budapest
13,AUT-chT3 9798,1997,Vorarlberg 
14,Oberliga Wuert9798,1997,Wuerttemberg
15,CZE-chT 9798,1998,CZE
16,Melbourne Black Opal,1998,Melbourne
17,Cappelle op,1998,Cappelle la Grande
18,FRA-chT,1998,FRA
19,Stadtcasino op 3rd,1998,Baden
20,Torino op,1998,Torino
21,Keres mem op,1998,Tallin
22,SVK-ch,1998,Prievidza
23,NOR-ch,1998,Oslo
24,RUS-Cup06,1998,Nizhnij Novgorod
25,RUS-Cup07,1998,Tomsk
26,MK Cafe Cup-A,1998,Koszalin
27,Hampstead GM3,1998,Hampstead
28,Hampstead IM3,1998,Hampstead
29,GER-ENG (Women),1998,Dresden
30,POL-chTJ,1998,Rowy
31,Krynica zt,1998,Krynica
32,Pinneberg op,1998,Pinneberg
33,Festuge M2,1998,Aarhus
34,Itau Mercosul Cup 2nd,1998,Sao Paulo
35,Elista ol (Men),1998,Elista
36,Budapest FS10 GM,1998,Budapest
37,SWE-chT 9899,1998,Sweden
38,Najdorf op,1998,Buenos Aires
39,Chigorin mem,1998,St. Petersburg
40,Villa Martelli op,1998,Villa Martelli
41,Budapest FS11 IM-B,1998,Budapest
42,Iona Tech Masters,1998,Kilkenny
43,Young Masters 6th,1998,Loures
44,Clichy,1998,Clichy
45,Reggio Emilia 41th,1999,Reggio Emilia 
46,Excelsior Cup,1999,Goteborg
47,ISR-chT,1999,Israel
48,BCF-chT 98/99 (4NCL),1999,GBR
49,BL2-W9899,1999,Germany
50,Bucharest TIT (Women),1999,Bucharest
51,Schloss Open A 5th,1999,Werther
52,Dreifluesse op 7th,1999,Passau
53,NED-ch U20 ,1999,Leiden
54,Budapest FS05 IM,1999,Budapest
55,Salongernas Elo,1999,Stockholm
56,Fan Adams Int f-A,1999,New York
57,World op Champions,1999,Philadelphia
58,White Nights,1999,St Petersburg
59,Quebec op,1999,Montreal
60,Montecatini Terme op 8th,1999,Montecatini Terme
61,MK Cafe Cup-B,1999,Koszalin
62,Polanica Zdroj op,1999,Polanica Zdroj
63,ESP-ch,1999,Palencia
64,BIH-chT,1999,Bihac
65,Brasilia Cup 3th,1999,Brasilia
66,EU-ch U14 Girls,1999,Litohoto
67,EU-ch U16,1999,Litohoto
68,KGSRL Masters 2nd,1999,Gent
69,Artek olJ,1999,Artek
70,CRO-chT,1999,Pula
71,Arco op,1999,Arco
72,Zone 3.2a Women,2001,Manila PHI
73,10th AKN Weekender,2001,Haarlem NED
74,Open A,2007,Klatovy CZE
75,12th European Maccabi Games,2007,Rome ITA
76,Canadian Open,2007,Ottawa CAN
77,ch-Odessa Region,2008,Odessa UKR
78,17th Korensky Memorial,2008,Tambow RUS
79,ch-UKR b18,2010,Kyiv UKR
80,ch-VIE Playoff,2010,Ho Chi Minh City VIE
81,Aberto do Brasil,2010,Fortaleza BRA
82,16th HIT Open,2011,Nova Gorica SLO
83,Spring Cup LCC 2011,2011,Lviv UKR
84,20th Poznan Open,2011,Poznan POL
85,PK NBSB Open A,2011,Roosendaal NED
86,Campomanes Mem GM,2011,Yangon MYA
87,10th Forchheim Open,2011,Forchheim GER
88,2nd JAHV McGregor Open,2011,Bogota COL
89,3rd Jerry Hanken FIDE Open,2012,Stillwater USA
90,21st Chicago Open,2012,Wheeling USA
91,Prva liga RS seniori 2012,2012,Banja Vrucica SRB
92,WY BU14 2012,2012,Maribor SLO
93,PSC Cup 2013,2013,Manila PHI
94,Turkey Cup 2014,2014,Kemer TUR
95,FSFMA September 2014,2014,Budapest HUN
96,World Youth Girls U16 2014,2014,Durban RSA
97,24th EY GU16 2014,2014,Batumi GEO
98,China zt 3.5 2014,2014,Zhongshan CHN
99,World Youth U16 Olympiad,2014,Gyor HUN
100,19th Voronezh Master Open,2015,Voronezh RUS
101,4th Bournemouth Open 2015,2015,Bournemouth ENG
102,12th South Wales Int 2015,2015,Cardiff WLS
103,Politiken Cup 2015,2015,Helsingor DEN
104,TCh-RUS Junior 2015,2015,St Petersburg RUS
105,Brasschaat Open 2015,2015,Brasschaat BEL
106,World U16 Olympiad 2015,2015,Ulan Bator MGL
107,99th Edward Lasker Mem,2015,New York USA
108,62nd ch-WLS 2016,2016,Cardiff WLS
109,ch-GER Youth U18 2016,2016,Willingen GER
110,15th Premier League BIH,2016,Bihac BIH
111,CHN Team Women 2016,2016,Wuxi CHN
112,24th Poznan Open 2016,2016,Poznan POL
113,World Junior Open 2016,2016,Bhubaneswar IND
114,Olympiad Women 2016,2016,Baku AZE
115,World Youth Girl U14 2016,2016,Khanty-Mansiysk RUS
116,Satka Autumn 2016,2016,Satka RUS
117,Chigorin Memorial 2016,2016,St Petersburg RUS
118,20th Hoogeveen Open 2016,2016,Hoogeveen NED
119,TCh-ROU Superliga w 2016,2016,Calimanesti-Caciulata ROU
120,Vladimir Dvorkovich Cup,2017,Taganrog RUS
121,Zonal 3.1 Women 2017,2017,Tehran IRI
122,TCh-TUR 2nd League 2017,2017,Konya TUR
123,Travnik Open 2017,2017,Travnik BIH
124,10th Calgary Int 2017,2017,Calgary CAN
125,World Youth Open U16 2017,2017,Montevideo URU
126,SPICE Cup Open 2017,2017,Saint Louis USA
127,World Junior Girls 2017,2017,Tarvisio ITA
128,9th Penang Open 2017,2017,Penang MAS
129,Doroshkevich Amateur Open,2017,Sochi RUS
130,14th Moscow Open B w 2018,2018,Moscow RUS
131,TCh-RUS Women 2018,2018,Sochi RUS
132,93rd ch-ARG Semi-Final,2018,Buenos Aires ARG
133,ch-CHN Rapid 2018,2018,Tianjin CHN
134,Icelandic Open 2018,2018,Reykjavik ISL
135,TCh-TUR 1st League 2018,2018,Konya TUR
136,TCh-TUR 2nd League 2018,2018,Konya TUR
137,Eurasia Cup SKB Kontur,2018,Yekaterinburg RUS
138,48th Continental Open,2018,Sturbridge USA
139,Jastrzebie-Zdroj Open,2018,Jastrzebie-Zdroj POL
140,28th EY Girls U16 2018,2018,Riga LAT
141,World Youth Girl U18 2018,2018,Porto Carras GRE
142,World Youth Girl U16 2018,2018,Porto Carras GRE
143,Australasian Masters IM,2018,Melbourne AUS
144,World Blitz 2018,2018,St Petersburg RUS
145,1st Binhai Cup 2018,2018,Tianjin CHN
146,4NCL Div 1b 2018-19,2019,"Daventry, ENG"
147,6th Sochi Amateur Open,2019,Sochi RUS
148,2nd Longtou Cup 2019,2019,Qinhuangdao CHN
149,CHN League Men 2019,2019,Daqing CHN
150,16th South Wales Int 2019,2019,Cardiff WLS
151,14th American Continental,2019,Sao Paulo BRA
152,TCh-TUR 2nd League 2019,2019,Konya TUR
153,Belt and Road Hunan Op B,2019,Changsha CHN
154,Eurasia Open Cup 2019,2019,Yekaterinburg RUS
155,29th EY Open U16 2019,2019,Bratislava SVK
156,Skolkovo Russian Rapid GP,2019,Skolkovo RUS
157,4 Springare Autumn IM,2019,Stockholm SWE
158,Third Sat 123 IM 2019,2019,Novi Sad SRB
159,European Youth U18 Blitz,2019,Tallinn EST
160,16th Moscow Open Women,2020,Moscow RUS
161,ch-Oregon 2020,2020,"Portland, OR USA"
162,ch-SRB SF Women 2020,2020,Novi Banovci SRB
163,4th ChessMates Murmansk,2020,Murmansk RUS
164,Isolated Queens Swiss II,2020,chess.com INT
165,Titled Tuesday 5th May,2020,chess.com INT
166,ch-FRA Blitz Online Qual,2020,Europe-Chess INT
167,Euro Online U2300 Day 2,2020,chess.com INT
168,Titled Tuesday 2nd June,2020,chess.com INT
169,BLR-UKR U16 Team Battle,2020,lichess.org INT
170,RUS-KAZ U-16 Team Battle,2020,lichess.org INT
171,AZE-UKR U16 Team Battle,2020,lichess.org INT
172,IPCA Online Championship,2020,lichess.org INT
173,1st Ismagambetov Mem 2020,2020,chess.com INT
174,ch-Lviv CC Quarantine,2020,Lviv UKR
175,Ceske Budejovice Open,2020,Ceske Budejovice CZE
176,45th Vsetin Open 2020,2020,Vsetin CZE
177,GEO-UKR Online Match 2020,2020,lichess.org INT
178,TCh-GER Online Liga 1 GpA,2020,PlayChess INT
179,UKR-MDA U18 Team Battle,2020,lichess.org INT
180,PNWCC Bullet (1+1) 2020,2020,lichess.org INT
181,Adolf Anderssen Mem 2020,2020,Wroclaw POL
182,Panchenko Mem Open B 2020,2020,Chelyabinsk RUS
183,Titled Tuesday 17th Nov,2020,chess.com INT
184,ch-POL U20 2020,2020,Pokrzywna POL
185,Titled Tuesday 22nd Dec,2020,chess.com INT
186,Caplin British Online,2020,chess.com INT
187,Titled Arena Jan 2nd 2021,2021,lichess.org INT
188,11th Sharjah Women Prelim,2021,lichess.org INT
189,Schools Friendly U17 2021,2021,lichess.org INT
190,Lozovatsky Mem A 2021,2021,Chelyabinsk RUS
191,Bogdanovich Mem Qual 2,2021,lichess.org INT
192,Titled Tuesday 9th Feb,2021,chess.com INT
193,Bogdanovich Mem Qual 3,2021,lichess.org INT
194,Gran Canaria Online Blitz,2021,lichess.org INT
195,17th Moscow Open Women,2021,Moscow RUS
196,Titled Tuesday 2nd Mar,2021,chess.com INT
197,Titled Arena Mar 6th 2021,2021,lichess.org INT
198,1st FIDE World Uni BlitzA,2021,Tornelo INT
199,ch-POL Junior U18,2021,Szklarska Poreba POL
200,1st FIDE World Uni RapidD,2021,Tornelo INT
201,Nizami Ganjavi-880 U17,2021,Tornelo INT
202,ch-RUS Junior 2021,2021,Loo RUS
203,Am. World Cup Q Prelim,2021,Tornelo INT
204,EE May Blitz Open 2021,2021,Europe-Echecs INT
205,Titled Tuesday 11th May,2021,chess.com INT
206,ch-POL Academic Team 2021,2021,Chorzow POL
207,Titled Tuesday 25th May,2021,chess.com INT
208,Titled Tuesday 1st June,2021,chess.com INT
209,Women's Speed Chess Q4,2021,chess.com INT
210,Women's Speed Chess Q5,2021,chess.com INT
211,Women's Speed Chess Q6,2021,chess.com INT
212,Junior Speed Qual Global,2021,chess.com INT
213,Titled Tuesday 22nd June,2021,chess.com INT
214,25th Battle of Senta Open,2021,Senta SRB
215,Open Desko Liberec 2021,2021,Liberec CZE
216,V I Zilberstein Mem 2021,2021,Bryansk RUS
217,Asian Women Chess Online,2021,Tornelo INT
218,Online Olym Div3 B 2021,2021,chess.com INT
219,V Maia Open 2021,2021,Maia POR
220,Titled Tuesday 7th Sept,2021,chess.com INT
221,Panchenko Mem Open A 2021,2021,Chelyabinsk RUS
222,ch-RUS Blitz w 2021,2021,Sochi RUS
223,Titled Tuesday 26th Oct,2021,chess.com INT
224,Chigorin Memorial 2021,2021,St Petersburg RUS
225,30th Donau Open 2021,2021,Aschach AUT
226,Cappelle Online Blitz,2022,Europe-Echecs INT
227,74th ch-MNE 2022,2022,Podgorica MNE
228,Third Saturday IM Mix 245,2022,Novi Sad SRB
229,Titled Tue 31st May Early,2022,chess.com INT
230,Tuapse Open 2022,2022,Tuapse RUS
231,18th Baltija Cup 2022,2022,Palanga LTU
232,Titled Tue 28th Jun Early,2022,chess.com INT
233,South African Open 2022,2022,Cape Town RSA
234,41st St Veit Open 2022,2022,St Veit AUT
235,Titled Tue 2nd Aug Early,2022,chess.com INT
236,Titled Tue 2nd Aug Late,2022,chess.com INT
237,SS Manhem IM 2022,2022,Gothenburg SWE
238,24th HZ Open 2022,2022,Vlissingen NED
239,BICAPAWN Xacobeo GP B1,2022,Santiago de Compostela ESP
240,New York Fall IMC 2022,2022,New York USA
241,BCF-ch,1978,Ayr
242,Hallsberg opJ32,1996,Hallsberg
243,Sigeman & Co,1997,Malmo
244,Wch U20,1997,Zagan
245,Wch U20 Girls,1997,Zagan
246,Drury Lane,1997,London
247,Holger Blomstrand's op,1997,Goeteborg
248,POL-chT,1997,Krynica
249,AUT-chT 9798,1997,Austria
250,London,1997,London
251,RUS-Cup01 Chigorin mem,1997,St Petersburg
252,Bayern-chI Bank Hofmann,1997,Bad Wiessee
253,GER-ch,1997,Gladenbach
254,BCF-chT 97/98 (4NCL),1997,GBR
255,Hoogovens,1997,Merrillville
256,FIDE-Wch k.o.,1997,Groningen
257,NLD-sf,1998,Enschede
258,Zagreb op,1998,Zagreb
259,Hoogovens Blitz,1998,Wijk aan Zee
260,Europe vs Americas,1998,Mermaid Beach
261,Calcutta Goodricke op,1998,Calcutta
262,Budapest FS02 GM,1998,Budapest
263,Masters,1998,Bunratty
264,DEN-chT 9798,1998,Denmark
265,New York op,1998,New York
266,Hampstead GM,1998,Hampstead
267,AUT-ch U18,1998,Koestendorf
268,Metz op,1998,Metz
269,Mar del Plata op,1998,Mar del Plata
270,Dreifluesse op,1998,Passau
271,GRE-chT,1998,Poros
272,Toronto op,1998,Toronto
273,Lisbon-ch,1998,Lisbon
274,Breda m playoff,1998,Breda
275,Capablanca mem 33th Premier,1998,Havana
276,RSA-ch,1998,Bruma Lake
277,Hamburg-chI,1998,Hamburg
278,Stockholm,1998,Stockholm
279,Bozen op,1998,Bozen
280,Copenhagen op,1998,Copenhagen
281,White Nights op,1998,St Petersburg
282,San Francisco Mechanics,1998,San Francisco
283,Smith & Williamson,1998,Witley
284,Bad Homburg,1998,Bad Homburg
285,Saitek US Masters,1998,Hawaii
286,Cardoza US op,1998,Kona
287,North Bay op,1998,North Bay
288,Energy Cup,1998,Olomouc
289,Dresden op,1998,Dresden
290,Schwarzach opA,1998,Schwarzach
291,Asia-ch,1998,Teheran
292,Wiesbaden op,1998,Wiesbaden
293,Karl Wagner mem 5th,1998,Graz
294,EUCup Gr5,1998,Senec
295,Elista ol (Women),1998,Elista
296,NRW Sportland Cup Masters,1998,Senden
297,EUCup Gr6,1998,Sremic Krsko
298,BL2-O9899,1998,Germany
299,BL9899 (Women),1998,Germany
300,Panormo zt,1998,Panormo
301,Corsican op,1998,Bastia
302,USA-ch Gr-B,1998,Denver
303,Wch U18,1998,Oropesa del Mar
304,Young Masters 5th,1998,Loures
305,San Salvador zt,1998,San Salvador
306,AUT-chT2O 9899,1998,AUT
307,Owens Corning,1998,Wrexham
308,AUT-chT2M 9899,1998,Austria
309,Bundesliga 9899,1998,Germany
310,Oxford Grandmasters 'A',1998,Oxford
311,Oxford GM-B,1998,Oxford
312,Marshall CC Winter,1998,New York
313,Gudmundur Arason op 4th,1998,Hafnarfjordur
314,Ambassador op,1998,Bern
315,Stavanger op 9899,1998,Stavanger
316,Bad Zwesten op,1999,Bad Zwesten
317,Rilton Cup 9899,1999,Stockholm
318,Untergrombach op,1999,Untergrombach
319,EUCup final 14th,1999,Belgrade
320,Australian op,1999,Suncoast
321,Hoogovens 5',1999,Wijk aan Zee
322,Hamburg IM,1999,Hamburg
323,NRW-Liga II 9899,1999,GER
324,Ubeda op,1999,Ubeda
325,BL2-N9899,1999,Germany
326,Koltanowski Team Match,1999,San Francisco
327,RUS-Cup03 (Geller mem),1999,Moscow
328,US Amateur Team East,1999,Parsippany
329,Manhattan March Int,1999,New York
330,Team Match 2nd,1999,San Francisco
331,Neckar op 3rd,1999,Deizisau
332,Rheinhessen-ch HT1 op,1999,Woerrstadt
333,Doeberl Cup op,1999,Canberra
334,EST-chT,1999,Tallinn
335,Golden Cleopatra op 3rd,1999,Cairo
336,Gonfreville Master,1999,Gonfreville
337,Znojmo m 30',1999,Znojmo
338,NED-ch U14,1999,Leiden
339,VCN SchaakFestival,1999,Soest
340,Zalakaros Kupa 18th,1999,Zalakaros
341,Kassel op,1999,Kassel
342,Keres mem op 24th,1999,Vancouver
343,Guillermo Garcia mem-A,1999,Santa Clara
344,Salongernas IM,1999,Stockholm
345,CCA ChessWise op,1999,Stratton Mountain
346,World op,1999,Philadelphia
347,Haarlem AKN op 8th,1999,Haarlem
348,Dutch Open,1999,Dieren
349,Paris-ch,1999,Paris
350,EtVas Vantaa IM,1999,Myyrmanni
351,Budapest  Agro GM,1999,Budapest
352,BCF-ch 86th,1999,Scarborough
353,Mala mem op,1999,Griesheim
354,Vlissingen HZ op,1999,Vlissingen
355,AZ Sanace Cup,1999,Olomouc
356,FRA-ch G2,1999,Bescanon
357,Pyramiden Franken Cup,1999,Fuerth
358,FRA-ch (Women),1999,Bescanon
359,Castellaneta op 3rd,1999,Castellaneta
360,Pinneberg-ch,1999,Pinneberg
361,CRO-chT (Women),1999,Pula
362,Najdorf mem op,1999,Buenos Aires
363,BCF-chT 99/00 (4NCL),1999,Birmingham
364,Bundesliga 9900,1999,Germany
365,Tatry op,1999,Tatranska Lomnica
366,Seeburg op 1st,1999,Lucern
367,AUT2W-chT,1999,Hohenems
368,Wichern op 5th,1999,Hamburg
369,ARM-ch,1999,Yerevan
370,Wch U16,1999,Oropesa del Mar
371,ESP-chT Div 1,1999,Cala Galdana
372,Open,2000,Mallorca ESP
373,Open NOR-ch,2001,Oslo NOR
374,US Open,2001,Framingham USA
375,12th NATO,2001,San Remo ITA
376,22nd Open,2001,Bethune FRA
377,ch-CAN,2002,Richmond CAN
378,ISYG-M14,2002,Moscow RUS
379,24th Politiken Cup,2002,Copenhagen DEN
380,13th Summer Open,2002,Recklinghausen GER
381,6th St Quentin Open,2003,Elancourt FRA
382,14th Sommerpokal,2003,Recklinghausen GER
383,125th ch-NY,2003,Kerhonkson USA
384,ch-City,2004,Solingen GER
385,19th North Sea Cup,2004,Esbjerg DEN
386,OCF Winter,2005,Stillwater USA
387,OCF Challengers,2005,Tulsa USA
388,38th Atlantic Open,2006,Washington DC USA
389,South African Open,2007,Cape Town RSA
390,ch-IRL,2007,Dublin IRL
391,29th Politiken Cup,2007,Copenhagen DEN
392,IRT Cinco Soles,2008,Pinamar ARG
393,Arctic Chess Challenge,2008,Tromso NOR
394,3rd XtraCon EMT,2008,Borup DEN
395,WYCC Boys U14,2008,Vung Tau City VIE
396,111th US Open,2010,Irvine USA
397,Sants Open A,2010,La Bordeta ESP
398,7th LGA Premium Cup,2010,Nuremberg GER
399,ch-VIE Men,2011,Da Lat VIE
400,Voronezh FIDE Open,2011,Voronezh RUS
401,TCh-TUR 2011,2011,Konya TUR
402,Open NK,2011,Dieren NED
403,Sparkassen Open A,2011,Dortmund GER
404,FSFMB August,2011,Budapest HUN
405,27th Geraadsbergen Open,2011,Geraadsbergen BEL
406,26th Universiade Men,2011,Shenzhen CHN
407,8th LGA Premium Cup,2011,Nuernberg GER
408,e2e4 Sunningdale Autumn,2011,Sunningdale ENG
409,TCh-CZE Liga 1 Zapad,2011,Czech Rep CZE
410,31st OCF NAO FIDE Open,2012,Stillwater USA
411,2nd Polugaevsky Mem,2012,Samara RUS
412,Politiken Cup 2012,2012,Helsingor DEN
413,Botvinnik Memorial 2012,2012,St Petersburg RUS
414,World Youth U16 Olympiad 2012,2012,Istanbul TUR
415,zt 3.5 China Men 2012,2012,Beijing CHN
416,TCh-VIE 2012,2012,Ho Chi Minh City VIE
417,7th Americas Continental 2012,2012,Mar del Plata ARG
418,4NCL 2012-13,2013,Staverton ENG
419,1st Maksym Yusupov Mem,2013,Lviv UKR
420,ch-TUR 2013,2013,Antalya TUR
421,e2e4 Torquay Open,2013,Torquay ENG
422,48th Capablanca Open II 2013,2013,Havana CUB
423,Zone 4.3 2013,2013,Gaborone BOT
424,6th Calgary International 2013,2013,Calgary CAN
425,35th Nezhmetdinov Cup,2013,Kazan RUS
426,IsBank TCh-TUR 2013,2013,Denizli TUR
427,52nd World Juniors 2013,2013,Kocaeli TUR
428,WYCC U16 Open 2013,2013,Al-Ain UAE
429,Bundesliga 2013-14,2014,Berlin GER
430,2nd Stein am Rhein Open 2014,2014,Stein am Rhein SUI
431,ch-UZB 1st League 2014,2014,Tashkent UZB
432,N1 Reykjavik Open 2014,2014,Reykjavik ISL
433,7th Beirut Open 2014,2014,Beirut LIB
434,5th Blitz Marathon 2014,2014,Rabat MAR
435,TCh-TUR 2014,2014,Konya TUR
436,Werner-Ott-Open 2014,2014,Kreuzberg GER
437,22nd Saint-Affrique Open,2014,Saint-Affrique FRA
438,TCh-TUR Super League 2014,2014,Kocaeli TUR
439,World University Men 2014,2014,Katowice POL
440,World Youth Boys U14 2014,2014,Durban RSA
441,US Chess League 2014,2014,ICC INT
442,Millionaire Chess Open 2014,2014,Las Vegas USA
443,24th EY BU14 2014,2014,Batumi GEO
444,Chigorin Memorial 2014,2014,St Petersburg RUS
445,Uppsala Young Champions,2014,Uppsala SWE
446,London Classic Open 2014,2014,London ENG
447,Montreal Christmas Open,2014,Montreal CAN
448,Gelendzhik Open 2015,2015,Gelendzhik RUS
449,Vladimir Dvorkovich Mem,2015,Taganrog RUS
450,Turkish Cup 2015,2015,Manavgat TUR
451,Moscow Open A 2015,2015,Moscow RUS
452,TCh-LTU 2015,2015,Lithuania LTU
453,16th ch-EUR Indiv 2015,2015,Jerusalem ISR
454,Reykjavik Open 2015,2015,Reykjavik ISL
455,5th HD Bank Cup 2015,2015,Ho Chi Minh City VIE
456,Karpos Open 2015,2015,Skopje MKD
457,2nd 4NCL Congress 2015,2015,Wakefield ENG
458,Petrovac Open 2015,2015,Petrovac MNE
459,Int ch-Central SRB Op A,2015,Paracin SRB
460,122nd ch-SCO 2015,2015,Edinburgh SCO
461,ch-Francophonie 2015,2015,Montreal CAN
462,26th Czech Rapid G1 2015,2015,Pardubice CZE
463,TCh-TUR First League 2015,2015,Konya TUR
464,6th Terre degli Elimi,2015,Erice ITA
465,116th US Open 2015,2015,Phoenix USA
466,23rd Troya Open 2015,2015,Canakkale TUR
467,World Junior Open 2015,2015,Khanty-Mansiysk RUS
468,World Junior Girls 2015,2015,Khanty-Mansiysk RUS
469,25th EY BU14 2015,2015,Porec CRO
470,Chigorin Memorial 2015,2015,St Petersburg RUS
471,1st Carthage Open 2015,2015,Hammamet TUN
472,43rd TCh-GRE 2015,2015,Porto Rio GRE
473,Kolomenskaya Open 2015,2015,Moscow RUS
474,Brasil Athenas Engenharia,2015,Barreirinhas BRA
475,World Youth Boys U14 2015,2015,Porto Carras GRE
476,2nd Etna Open 2015,2015,Nicolosi ITA
477,Nutcracker Rapid B 2015,2015,Moscow RUS
478,2nd Floripa Open 2016,2016,Florianopolis BRA
479,7th 4NCL Congress 2016,2016,Birmingham ENG
480,BUCA 2016,2016,Birmingham ENG
481,Elite Hotels Vaxjo Open,2016,Vaxjo SWE
482,TCh-LTU 2016,2016,Lithuania LTU
483,ch-ROU w 2016,2016,Olanesti ROU
484,23rd Space Coast Open,2016,Cocoa Beach USA
485,Corum Open 2016,2016,Corum TUR
486,17th ch-EUR Indiv w 2016,2016,Mamaia ROU
487,ch-PHI w 2016,2016,Manila PHI
488,ch-USA Junior Girls 2016,2016,Manchester USA
489,China Zonal 3.5 2016,2016,Shenzhen CHN
490,44th Sparkassen Open,2016,Dortmund GER
491,Xtracon Chess Open 2016,2016,Helsingor DEN
492,10th Portoroz Open 2016,2016,Portoroz SLO
493,4th Famalicao Open 2016,2016,Vila Nova de Famalicao POR
494,103rd ch-GBR 2016,2016,Bournemouth ENG
495,26th EY BU18 2016,2016,Prague CZE
496,26th EY BU16 2016,2016,Prague CZE
497,Pyramiden Cup 2016,2016,Fuerth GER
498,18th Heraklion Open 2016,2016,Heraklion GRE
499,ch-Tatarstan 2016,2016,Kazan RUS
500,World Youth Open U14 2016,2016,Khanty-Mansiysk RUS
501,Vasteras Open 2016,2016,Vasteras SWE
502,World Youth Open U16 2016,2016,Khanty-Mansiysk RUS
503,World Youth Open U18 2016,2016,Khanty-Mansiysk RUS
504,Sept Lviv Tradition IM,2016,Lviv UKR
505,7th Hradec Kralove Open,2016,Hradec Kralove CZE
506,1st Yerevan Open 2016,2016,Yerevan ARM
507,World Cadets U12 2016,2016,Batumi GEO
508,9th Maria Albulet Mem,2016,Braila ROU
509,Lidums AUS YM 2016,2016,Adelaide AUS
510,8th Penang Open 2016,2016,Penang MAS
511,76th ch-UKR Women 2016,2016,Rivne UKR
512,3rd Floripa Open 2017,2017,Florianopolis BRA
513,Orsha Masters 2017,2017,Orsha BLR
514,Turkish Cup 2017,2017,Antalya TUR
515,13th Moscow Open F 2017,2017,Moscow RUS
516,Perth Congress 2017,2017,Perth SCO
517,PRO League Group Stage,2017,chess.com INT
518,ch-PER 2017,2017,Lima PER
519,Zonal 3.3 2017,2017,Tagaytay City PHI
520,ch-CZE Junior 2017,2017,Kouty nad Desnou CZE
521,ch-ROU 2017,2017,Calimanesti-Caciulata ROU
522,TV2 Elo Open 2017,2017,Fagernes NOR
523,ch-VIE w 2017,2017,Hanoi VIE
524,81st ch-BUL 2017,2017,Montana BUL
525,13th ch-South-Am Junior,2017,Manta ECU
526,13th ch-South-Am Girls,2017,Manta ECU
527,World Schools U17 2017,2017,Iasi ROU
528,ch-SRB Junior 2017,2017,Belgrade SRB
529,11th Agzamov Mem 2017,2017,Tashkent UZB
530,FSFM May 2017,2017,Budapest HUN
531,Deltalift Open 2017,2017,Tylosand SWE
532,12th American Continental,2017,Medellin COL
533,TCh-TUR Clubs 2017,2017,Konya TUR
534,TCh-TUR 1st League 2017,2017,Konya TUR
535,Xtracon Chess Open 2017,2017,Helsingor DEN
536,Glorney Cup 2017,2017,Cardiff WLS
537,32nd Avoine Open 2017,2017,Avoine FRA
538,Dutch Open 2017,2017,Dieren NED
539,European U18 Teams Women,2017,Rymanow-Zdroj POL
540,European U18 Teams Open,2017,Rymanow-Zdroj POL
541,27th EY BU14 2017,2017,Mamaia ROU
542,TCh-LBN 1st League 2017,2017,Beirut LIB
543,27th EY GU14 2017,2017,Mamaia ROU
544,19th Trieste Open 2017,2017,Trieste ITA
545,2nd Yerevan Open 2017,2017,Yerevan ARM
546,ch-RUS Rapid Women 2017,2017,Sochi RUS
547,World Junior Open 2017,2017,Tarvisio ITA
548,77th ch-ITA Women 2017,2017,Cosenza ITA
549,European Blitz 2017,2017,Katowice POL
550,TCh-GER Junior U20 2017,2017,Duesseldorf GER
551,Laos Open 2018,2018,Vientiane LAO
552,Reykjavik Congress 2018,2018,Reykjavik ISL
553,Turkish Cup 2018,2018,Goynuk TUR
554,14th Moscow Open A 2018,2018,Moscow RUS
555,Reykjavik Open 2018,2018,Reykjavik ISL
556,10th Rheinland-Pfalz Open,2018,Nickenich GER
557,11th New York Int 2018,2018,New York USA
558,Krakow Rapid Championship,2018,Krakow POL
559,22nd Voronezh FIDE Open,2018,Voronezh RUS
560,National Open 2018,2018,Las Vegas USA
561,ChessAmateur Minsk 2018,2018,Minsk BLR
562,6th Cesme Open 2018,2018,Cesme TUR
563,68th ch-RUS HL w 2018,2018,Yaroslavl RUS
564,46th Annual World Open,2018,Philadelphia USA
565,43rd Vsetin Open 2016,2018,Vsetin CZE
566,TCh-TUR Club 2018,2018,Konya TUR
567,125th ch-SCO Open 2018,2018,Paisley SCO
568,46th TCh-GRE 2018,2018,Rio (Achaia) GRE
569,33rd Avoine Open 2018,2018,Avoine FRA
570,29th Czech Open B 2018,2018,Pardubice CZE
571,22nd Battle of Senta Open,2018,Senta SRB
572,ch-AUT 2018,2018,Vienna AUT
573,Xtracon Chess Open 2018,2018,Helsingor DEN
574,TCh-TUR Super League 2018,2018,Ankara TUR
575,11th Arad Open 2018,2018,Arad ROU
576,China Zonal 3.5 2018,2018,Daqing CHN
577,FSIM August 2018,2018,Budapest HUN
578,32nd Teteven Open 2018,2018,Teteven BUL
579,Korchnoi Memorial Open,2018,St Petersburg RUS
580,54th Rubinstein Mem,2018,Polanica Zdroj POL
581,28th EY Open U16 2018,2018,Riga LAT
