id,name,year,site
3127,ch-CHN Blitz 2017,2017,Shenzhen CHN
3128,TCh-AUT 2017-18,2018,Austria AUT
3129,Brazil Pocos de Caldas Op,2018,Pocos de Caldas BRA
3130,TCh-POL Rapid 2018,2018,Zgierz POL
3131,FSGM April 2018,2018,Budapest HUN
3132,ch-CHN 2018,2018,Xinghua CHN
3133,Sharjah Blitz 2018,2018,Sharjah UAE
3134,11th KIIT Elite Open 2018,2018,Bhubaneswar IND
3135,Mitropa Cup 2018,2018,Le Castella ITA
3136,Victorian Open 2018,2018,Melbourne AUS
3137,22nd Gioiosa Marea Open,2018,Gioiosa Marea ITA
3138,2nd Baltic Cup 2018,2018,Darlowko POL
3139,29th Czech Rapid G1 2018,2018,Pardubice CZE
3140,TCh-RUS w Rapid 2018,2018,Sochi RUS
3141,SCO National Chess Open,2018,Xingtai CHN
3142,126th ch-NZL Open 2019,2019,Auckland NZL
3143,ch-HKG 2019,2019,Hong Kong HKG
3144,42nd San Sebastian Open,2019,Donostia ESP
